SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS,EQ,04-Apr-2018,49.90,50.10,52.30,49.00,49.50,49.30,50.98,193457,98.62,1874,87220,45.08
21STCENMGM,BE,04-Apr-2018,35.00,35.50,35.50,35.00,35.00,35.00,35.02,1487,0.52,8,-,-
3IINFOTECH,EQ,04-Apr-2018,5.15,5.15,5.30,5.00,5.10,5.10,5.14,3773118,193.91,1210,2113580,56.02
3MINDIA,EQ,04-Apr-2018,20111.30,20111.30,21000.05,19851.00,20131.00,20105.00,20530.85,3744,768.67,1062,2513,67.12
5PAISA,BE,04-Apr-2018,344.15,349.80,357.80,341.00,347.00,347.00,347.29,5110,17.75,57,-,-
63MOONS,EQ,04-Apr-2018,100.15,101.00,107.00,99.65,101.20,101.05,103.39,975603,1008.66,12650,236153,24.21
8KMILES,EQ,04-Apr-2018,698.25,704.95,716.00,684.70,691.00,689.75,700.10,182882,1280.35,6255,56562,30.93
A2ZINFRA,EQ,04-Apr-2018,28.85,28.85,29.40,27.25,28.40,27.90,28.38,963860,273.50,3425,418485,43.42
AARTIDRUGS,EQ,04-Apr-2018,534.90,540.80,556.00,535.00,547.00,543.80,545.73,7147,39.00,598,4560,63.80
AARTIIND,EQ,04-Apr-2018,1155.40,1165.00,1165.00,1150.00,1155.00,1154.60,1157.47,93973,1087.71,2537,78797,83.85
AARVEEDEN,EQ,04-Apr-2018,45.40,46.45,47.20,44.00,44.70,44.20,45.09,18317,8.26,201,12531,68.41
AARVI,SM,04-Apr-2018,76.00,76.50,76.50,74.00,74.00,74.00,75.25,4000,3.01,2,4000,100.00
ABAN,EQ,04-Apr-2018,163.00,163.70,165.90,158.30,159.55,159.65,162.28,874550,1419.24,10647,221436,25.32
ABB,EQ,04-Apr-2018,1283.15,1294.90,1300.00,1267.55,1270.00,1271.35,1284.00,44414,570.27,4245,25796,58.08
ABBOTINDIA,EQ,04-Apr-2018,5617.90,5674.00,5884.00,5600.00,5601.00,5624.50,5776.74,12475,720.65,1394,9232,74.00
