Open,High,Low,Close,Volume,Adjusted,Date
27.290001,28.35,26.1,26.83,5768900,26.83,2007-01-03
26.85,28.1,26.76,27.950001,7471600,27.950001,2007-01-04
28.02,28.110001,27.5,27.85,3934600,27.85,2007-01-05
27.85,29.41,27.809999,28.780001,8362700,28.780001,2007-01-08
29.200001,29.73,28.799999,29.110001,6123000,29.110001,2007-01-09
28.889999,29.870001,28.6,29.57,4512800,29.57,2007-01-10
29.950001,30.15,29.41,29.940001,5904200,29.940001,2007-01-11
29.809999,30.75,29.809999,30.440001,6151700,30.440001,2007-01-12
30.610001,30.940001,30.16,30.27,3700300,30.27,2007-01-16
30.309999,30.34,29.450001,29.83,4606000,29.83,2007-01-17
29.75,29.75,28.59,28.969999,6034000,28.969999,2007-01-18
28.6,29.09,28.5,28.799999,3875300,28.799999,2007-01-19
28.629999,29.26,28.08,28.709999,4246200,28.709999,2007-01-22
28.75,30.09,28.73,29.870001,6803500,29.870001,2007-01-23
32.5,32.990002,31.4,31.65,11537500,31.65,2007-01-24
31.459999,31.93,31.139999,31.209999,3881000,31.209999,2007-01-25
31.200001,31.440001,30.889999,31.1,2483700,31.1,2007-01-26
31.200001,31.43,30.75,31.34,2638700,31.34,2007-01-29
31.950001,31.950001,31.190001,31.440001,3329700,31.440001,2007-01-30
31.34,31.700001,30.93,31.66,2470200,31.66,2007-01-31
31.700001,32.16,31.42,31.93,3531300,31.93,2007-02-01
31.9,32.279999,31.73,31.940001,2450800,31.940001,2007-02-05
31.9,31.92,31.27,31.799999,2206600,31.799999,2007-02-06
32.27,32.27,31.559999,31.870001,2219100,31.870001,2007-02-07
31.93,32.110001,31.58,31.75,1808600,31.75,2007-02-08
31.92,31.92,31.23,31.450001,2334300,31.450001,2007-02-09
31.459999,31.59,31.030001,31.16,1203900,31.16,2007-02-12
31.280001,31.48,30.860001,30.969999,1971600,30.969999,2007-02-13
31.09,31.83,30.93,31.6,3783200,31.6,2007-02-14
31.52,31.83,31.4,31.65,2075700,31.65,2007-02-15
31.77,31.780001,31.309999,31.43,2247300,31.43,2007-02-16
31.389999,31.84,31.1,31.75,2084800,31.75,2007-02-20
31.690001,32.240002,31.629999,32.240002,2112800,32.240002,2007-02-21
32.330002,32.799999,32.009998,32.25,2747300,32.25,2007-02-22
32.18,33.25,32.18,33.060001,3353200,33.060001,2007-02-23
33.200001,33.299999,32.18,32.470001,2568900,32.470001,2007-02-26
32.209999,32.549999,30.940001,31.59,4328500,31.59,2007-02-27
31.26,32.400002,30.950001,32.200001,3399200,32.200001,2007-02-28
31.120001,31.82,31.120001,31.26,4472000,31.26,2007-03-02
30.950001,31.85,30.59,31.200001,2982500,31.200001,2007-03-05
31.200001,31.66,31.17,31.32,4142700,31.32,2007-03-06
31.32,31.92,31.32,31.5,3056800,31.5,2007-03-07
31.809999,32.040001,31.540001,31.780001,2193200,31.780001,2007-03-08
32.110001,32.150002,31.4,32,2080200,32,2007-03-09
32,32.610001,31.83,32.380001,1880100,32.380001,2007-03-12
32.360001,32.490002,31.08,31.219999,2687200,31.219999,2007-03-13
31.370001,31.620001,30.299999,31.559999,3911800,31.559999,2007-03-14
31.48,31.5,30.950001,31.200001,3195400,31.200001,2007-03-15
31.24,31.389999,30.99,31.18,3886500,31.18,2007-03-16
31.299999,31.959999,31.25,31.66,2133100,31.66,2007-03-19
31.52,31.77,31.459999,31.73,1640600,31.73,2007-03-20
31.74,32.84,31.65,32.799999,2872500,32.799999,2007-03-21
32.77,33.189999,32.59,32.720001,2482600,32.720001,2007-03-22
32.849998,32.900002,32.34,32.48,1761100,32.48,2007-03-23
32.689999,32.689999,32.099998,32.509998,1695900,32.509998,2007-03-26
32.509998,32.740002,31.940001,32,1436400,32,2007-03-27
31.82,32.41,31.719999,31.959999,1539200,31.959999,2007-03-28
32.220001,32.23,31.32,31.639999,1852900,31.639999,2007-03-29
31.67,32.220001,31.5,32.029999,1793300,32.029999,2007-03-30
32,32.549999,32,32.490002,1986200,32.490002,2007-04-02
32.66,33.400002,32.66,33.080002,2652900,33.080002,2007-04-03
33,33.48,32.98,33.299999,2039000,33.299999,2007-04-04
33.220001,33.549999,33.080002,33.509998,1469200,33.509998,2007-04-05
33.849998,33.939999,33.349998,33.5,2305500,33.5,2007-04-09
33.02,33.700001,33,33.25,1704900,33.25,2007-04-10
33.369999,33.509998,32.5,33,2087200,33,2007-04-11
33.040001,33.360001,32.959999,33.32,2217900,33.32,2007-04-12
33.25,33.93,33.23,33.66,3909500,33.66,2007-04-13
33.650002,34.450001,33.650002,34.299999,3473700,34.299999,2007-04-16
34.130001,34.490002,34.099998,34.299999,2985900,34.299999,2007-04-17
34.099998,34.43,34.040001,34.330002,3403700,34.330002,2007-04-18
33.98,34.32,33.82,33.93,1909000,33.93,2007-04-19
34.360001,34.580002,34,34.240002,2919900,34.240002,2007-04-20
34.150002,34.630001,33.939999,34.610001,2531300,34.610001,2007-04-23
34.330002,34.529999,33.75,34.189999,3426100,34.189999,2007-04-24
34.529999,34.740002,33.830002,34.099998,4737700,34.099998,2007-04-25
33.400002,33.950001,33.02,33.689999,3390700,33.689999,2007-04-26
33.57,33.68,33.060001,33.240002,1703100,33.240002,2007-04-27
33.240002,33.360001,32.580002,32.599998,2419800,32.599998,2007-04-30
32.740002,32.75,32.400002,32.59,1616200,32.59,2007-05-01
32.689999,32.959999,32.5,32.84,2058100,32.84,2007-05-02
32.700001,32.84,32.220001,32.5,2135100,32.5,2007-05-03
32.689999,32.689999,31.76,31.9,3057900,31.9,2007-05-04
32,32.220001,31.75,31.83,2954900,31.83,2007-05-07
31.73,32.080002,31.42,31.82,2415200,31.82,2007-05-09
31.82,32.060001,31.01,31.139999,2966300,31.139999,2007-05-10
31.530001,31.67,31.15,31.65,1413000,31.65,2007-05-11
31.65,31.74,30.950001,31.299999,2425100,31.299999,2007-05-14
31.309999,31.43,30.59,30.67,3477700,30.67,2007-05-15
30.68,31.16,29.93,31.1,4501300,31.1,2007-05-16
31.01,31.01,30.48,30.48,3057900,30.48,2007-05-17
30.59,30.93,30.07,30.719999,3154300,30.719999,2007-05-18
30.99,31.5,30.799999,31.23,1558900,31.23,2007-05-21
31.77,33.48,31.700001,32.91,5789000,32.91,2007-05-22
32.880001,33.139999,32.610001,33,2620100,33,2007-05-23
32.889999,32.950001,32.400002,32.48,2838900,32.48,2007-05-24
32.529999,32.950001,32.43,32.869999,1347900,32.869999,2007-05-25
32.82,33.150002,32.59,33.060001,1367000,33.060001,2007-05-29
33,33.209999,32.389999,33.209999,1515600,33.209999,2007-05-30
33.240002,33.700001,33.189999,33.610001,1822000,33.610001,2007-05-31
33.849998,33.900002,33.639999,33.790001,1703500,33.790001,2007-06-01
33.650002,33.75,33.130001,33.450001,1525400,33.450001,2007-06-04
33.400002,33.400002,33.02,33.310001,2255600,33.310001,2007-06-05
33.259998,33.299999,32.939999,33.150002,1843500,33.150002,2007-06-06
33,33.150002,32.700001,32.830002,3263500,32.830002,2007-06-07
32.5,33.650002,32.5,33.619999,2617400,33.619999,2007-06-08
33.650002,34.02,33.34,34,2382700,34,2007-06-11
33.77,34.200001,33.599998,34.040001,3059000,34.040001,2007-06-12
34.200001,34.529999,33.990002,34.52,2424500,34.52,2007-06-13
34.549999,34.84,34.259998,34.5,2027100,34.5,2007-06-14
34.860001,34.860001,34.150002,34.290001,3151200,34.290001,2007-06-15
34.290001,34.43,33.880001,33.939999,3078900,33.939999,2007-06-18
33.93,34.18,33.630001,33.900002,2860700,33.900002,2007-06-19
33.849998,34,33.360001,33.700001,3966800,33.700001,2007-06-20
33.630001,34,33.560001,33.82,2741700,33.82,2007-06-21
33.610001,33.82,33.150002,33.450001,2923400,33.450001,2007-06-22
33.450001,33.450001,32.82,32.919998,3657600,32.919998,2007-06-25
33.009998,33.110001,32.650002,33.040001,3318500,33.040001,2007-06-26
32.939999,33.549999,32.700001,33.549999,3995800,33.549999,2007-06-27
33.599998,34.119999,33.34,33.990002,2402200,33.990002,2007-06-28
34,34,33.459999,33.669998,3336400,33.669998,2007-06-29
33.860001,34.080002,33.549999,33.669998,3115800,33.669998,2007-07-02
33.77,33.830002,33.439999,33.700001,1904400,33.700001,2007-07-03
33.900002,34.009998,33.549999,33.869999,2825800,33.869999,2007-07-05
